price,title,location
Not specified,Richville Towers,"Off Admiralty Way, Lekki Phase 1, Lagos, Nigeria"
Not specified,Dominion Towers,"M26, 4th Avenue, Banana Island, Lagos, Nigeria"
"₦ 2,500,000",Land,Agbozazi Nike Enugu East Local Government Enugu Enugu
"₦ 650,000,000",5 Bedroom Fully Detached Duplex With Bq Pool & Cinema,Royal Garden Estate Ajah Lagos
"₦ 18,000,000/year",500 Sqm Commercial Bareland,Along Oduduwa Way Ikeja Gra Ikeja Lagos
"₦ 37,000,000",600sqm Land For Sale,Anu Crescent Badore Ajah Lagos
"₦ 35,000,000/year",1200sqm Of Land,By Providence Street Lekki Phase 1 Lekki Lagos
"₦ 3,000,000/year",Land,Ibeju Lekki Lagos
"₦ 250,000/year",Land 1000 Sqm,Epe Lagos
"₦ 16,000,000/year",1300sqm Land,Ologolo Lekki Lagos
"₦ 7,000,000/year",460sqm Land,Lekki Phase 1 Lekki Lagos
"₦ 350,000/sqm",Joint Venture Deal,"By Femi Okunnu, Jakande Shoprite Osapa London Lekki Lagos"
"₦ 8,000,000/year",1750sqm Land,Lekki Conservation Orchid Lekki Lagos
"₦ 80,000,000/year",Land Measuring 1005sqm,Victoria Island Lagos
"₦ 5,000,000/year",300 Sqm Of Land For Car Lot,Berger Ojodu Lagos
"₦ 25,000/sqm",Land Measuring 250sqm,Mobolaji Johnson By Nnpc Alausa Ikeja Lagos
"₦ 5,000,000/year",3 Plots Of Land,"Owode Area, Along Ikorodu Road, Ikorodu Lagos"
"₦ 40,000,000/year","6,170sqm Land",Admiralty Way Lekki Lagos
"₦ 100,000,000/year","Land Measuring 2,588 Sqm",Ikoyi Lagos
"₦ 100,000,000/year",1200sqm Of Land,Sanusi Fafunwa Victoria Island Lagos
"₦ 800,000/sqm",3124sqm Land Space,Osborne Foreshore Estate Ikoyi Lagos
"₦ 100,000,000/year",3000sqm Land,Opposite Eko Hotel Victoria Island Lagos
"₦ 40,000,000",1000sqm Land Lease,Lekki Phase 1 Lekki Lagos
"₦ 70,000/day",Sleek Studio Apartment,Lekki Phase 1 Lekki Lagos
"₦ 140,000/day",One Bedroom Apartment,"Lekki Phase 1, Lekki Lekki Phase 1 Lekki Lagos"
"₦ 110,000/day",One Bedroom Apartment,"Banana Island, Ikoyi Banana Island Ikoyi Lagos"
"₦ 80,000/day",Newly Built One Bedroom Apartment,Ikate Lekki Lagos
"₦ 100,000/day",1 Bedroom Apartment,Ologolo Lekki Lagos
"₦ 85,000/day",Newly Built 1 Bedroom Apartment,Osapa London Lekki Lagos
"₦ 85,000/day",Newly Built 1 Bedroom Apartment,Chevron Lekki Lagos
"₦ 200,000/day",Furnished 3 Bedroom Apartment,Lekki Phase 1 Lekki Lagos
"₦ 150,000/day",Fresh 3 Bedroom Apartment,Parkview Estate Parkview Estate Ikoyi Lagos
"₦ 590,000,000",Waterfront 5 Bedroom Detached Duplex,Vgc Lekki Lagos
"₦ 1,600,000,000",Brand New 5 Bedroom Detached House,Ikoyi Lagos
"₦ 900,000,000",Oceanview 3 Bedroom Apartment With Oceanview Pool&gym,Banana Island Ikoyi Lagos
"₦ 7,000,000/year",6 Units Of 3 Bedroom Apartment,Ologolo Lekki Lagos
"$ 100,000/year",5 Bedroom Detached Duplex With Bq,Banana Island Ikoyi Lagos
"₦ 50,000,000/year",Self Serviced 4 Bedroom Semi Detached Duplex With Bq,Old Ikoyi Ikoyi Lagos
"₦ 15,000,000/year",4 Bedroom Terrace Duplex (no Bq),Ahmadu Bello Way Victoria Island Lagos
"₦ 15,000,000/year",4 Bedroom Terraced Duplex,Ahmadu Bello Way Victoria Island Lagos
"₦ 35,000,000/year",4 Bedroom Terraced Duplex With Bq,Banana Island Ikoyi Lagos
"₦ 110,000/day",Newly Built Luxurious 1 Bedroom Apartment,"Lekki Ikoyi Link Bridge Off Admiralty Way, Lekki Phase 1 Lekki Lagos"
"₦ 15,000,000/year",Partly Furnished 3 Bedroom Apartment With Bq,Lekki Phase 1 Lekki Lagos
"₦ 12,000,000/year",Serviced 3 Bedroom Apartment With Bq,Petrocam Lekki Phase 1 Lekki Lagos
"₦ 50,000,000",4 Bedroom Penthouse,Victoria Island Lagos
"₦ 30,000,000/year",Luxury 4 Bedroom Detached House In Shared Premises +bq,Old Ikoyi Lagos
"₦ 30,000,000",Luxury 4 Bedroom Terrace House + Bq+gym+pool,Banana Island Estate Banana Island Ikoyi Lagos
"$ 120,000/year",6 Bedroom Detached Duplex With 2 Bq,Banana Island Estate Ikoyi Lagos
"₦ 50,000,000/year",Serviced 5 Bedroom Detached Duplex,Old Ikoyi Ikoyi Lagos
"₦ 60,000,000/year",Newly Built 4 Bedroom Terrace Duplex With Bq,Banana Island Ikoyi Lagos
"₦ 850,000,000",25 Bedroom Functioning Hotel,Idi Ishin Area Jericho Ibadan Oyo
"₦ 320,000,000",5 Bedroom Detached Duplex,Aerodrome Gra Samonda Ibadan Oyo
"₦ 240,000,000",4 Bedroom Duplex,Oluyole Main Oluyole Estate Ibadan Oyo
"₦ 85,000,000",4 Bedroom Duplex With Bq,Gra Alalubosa Ibadan Oyo
"₦ 280,000,000",Furnished 5 Bedroom Duplex,Main Jericho Gra Jericho Ibadan Oyo
"₦ 780,000,000",Commercial Building,Bodija Main Road Bodija Ibadan Oyo
"₦ 200,000,000",4 Bedroom Terraced Duplex,Old Bodija Estate Ibadan Oyo
"₦ 130,000,000",4 Bedroom Duplex With Bq,S&t (military Gra) Jericho Ibadan Oyo
"₦ 60,000,000",Block Of 3 Bedroom Flat,Behind Crown Chemist Challenge Ibadan Oyo
"₦ 25,000,000",3 Bedroom Bungalow,Ajila Elebu Akala Express Ibadan Oyo
"₦ 70,000,000",4 Bedroom Bungalow,Soka Ibadan Oyo
"₦ 18,000,000",3 Bedroom Bungalow,Ashipa Akala Express Ibadan Oyo
"₦ 85,000,000",500sqm Of Land,Basorun Ibadan Oyo
"₦ 40,000,000",Fenced And Gated Residential Land,Akinmosa Opposite Oba Otudeku Street Idishin Jericho Extension Ibadan Oyo
"₦ 45,200,000",2 Units Of 2 Bedroom Bungalow,"Bashorun Housing Estate, Airforce Akobo, Opposite Kolapo Gra Ibadan Oyo"
"₦ 3,000,000",Land,Ayegun Oleyo Akala Express Ibadan Oyo
"₦ 115,000,000",Commercial Land,Kudeti Road Onireke Gra Jericho Ibadan Oyo
"₦ 75,000,000",4 Bedroom Duplex,Akala Express Ibadan Oyo
"₦ 240,000,000",4 Bedroom Duplex,Blue Gate Remi Koya Avenue Oluyole Estate Ibadan Oyo
"₦ 200,000,000",4 Units Of 3 Bedroom Apartment,Owerri Imo
"₦ 5,000,000",2 And Half Plots Land,Uborji Okuku After Umuguma By Akanawu Estate Uborji Owerri Imo
"₦ 200,000,000",4 Units Of 3 Bedroom Flats For Sale In Imo Owerri,Owerri Imo
"₦ 18,500,000",Uncompleted 5 Bedroom Duplex,Owerri Imo
"₦ 550,000,000",7 Units Of 3 Bedroom Flats + Big Warehouse,Owerri Imo
"₦ 3,500,000",Land Measuring 400sqm,Njaba Imo
"₦ 2,800,000",Land,Ngor Okpala Owerri Imo
"₦ 4,500,000",Land,Avu Owerri Imo
"₦ 3,000,000",Land,Owerri Imo
"₦ 2,570,000",Land,Ngor Okpala Owerri Imo
"₦ 3,000,000",Land,Ngor Okpala Owerri Imo
"₦ 4,500,000",Land,"Avu, Owerri Imo"
"₦ 2,500,000",Land,"Off Aduwawa Bypas, Central Edo"
"₦ 18,000,000",200 Plots Of Land,Ogheghe Community School Oredo Edo
"₦ 13,000,000",3 Bedroom Bungalow,"Location Ekose Community After Aduwawa Bypass, Ukpoba Edo"
"₦ 38,000,000",House,"Okabere, Off Sapele Road, Benin City Oredo Edo"
"₦ 25,000,000",100 By 300 (3plot) Land With C Of O At Upper Ekewan Rd,2nd Utangban Off Upper Ekewan Road Before The Barack Also Access Through Evbuodia Community Airport Road Extension Oredo Edo
"₦ 25,000,000",Standard 3 Units Of 2 Bedroom Flats All Rooms En Suite,"Evidence Quarters Isihor With 24hrs Light Area, Close To The Road Oredo Edo"
"₦ 68,000,000",House,"Location: Okha Community At The Back Of Biu, After Sapele Road Bypass, Benin City Oredo Edo"
"₦ 35,000,000",3 Bedroom Flats With 2 Stores,"Evbuomoma Community, Market Road Off Sapele Road Bye Pass.landmark : Evbuomoma Market, Uwo Junction. Oredo Edo"
"₦ 80,000,000",Luxury Built 4 Bedroom Standard Duplex,Ogheghe Off Sapele Road Benin City. Oredo Edo
"₦ 380,000,000",Filling Station,Upper Siloko Central Edo
"₦ 35,000,000",Block Of Flats,"Zafike Street, Eyaen, Off Benin Auchi Road, Benin City. Central Edo"
"₦ 85,000,000",4 Bedroom Duplex,"Ogheghe Community, Off Sapele Road, Benin City Central Edo"
"₦ 75,000,000",Land,"Etete Gra, Benin City Central Edo"
"₦ 18,000,000",Land,Behind Senator Osakue's House At Ekae Central Edo
"₦ 230,000,000",Twin 4 Bedroom Detached Duplex,"Off Miller Road, Off Ugbor Village Road Central Edo"
"₦ 350,000,000",Shopping Complex,"Mm Way (3rd) Junction By Akpapava (slope), Benin City Central Edo"
"₦ 350,000,000",Functional Filling Station,Ahor Bypass Benin City. Central Edo
"₦ 60,000,000",Block Of Flats,"Okha Community Behind Biu, Sapele Road Bypass, Benin City Central Edo"
"₦ 1,500,000/year",Serviced Studio Apartment,Onike Yaba Lagos
"₦ 1,300,000/year",Standard And Spacious Room Self Contained,Onike Yaba Lagos
"₦ 7,000,000/year",1 Bedroom Apartment,"Off Awolowo Road, Ikoyi S.W Ikoyi Lagos"
"₦ 35,000,000/year",Newly Built 4 Bedroom Terrace Duplex With Bq,Old Ikoyi Ikoyi Lagos
"₦ 40,000,000/year",Newly Built 3 Bedroom Terrace Duplex With Bq,Banana Island Ikoyi Lagos
"₦ 250,000,000/year",Newly Built 6 Bedroom Detached Duplex With Bq,Banana Island Ikoyi Lagos
"₦ 40,000,000/year",Newly Built 3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos
"₦ 8,000,000/year",3 Bedroom Flat,"Oluwa Ni Shola Estate, Chevron Second Gate Lekki Lagos"
"₦ 15,000,000/year",Spacious 5 Bedroom Detached Duplex,Lekki Lagos
"₦ 8,500,000/year",4 Bedroom Fully Detached Duplex With Bq,Ikota Lekki Lagos
"₦ 10,000,000/year",Newly Built 2 Bedroom Apartment,Lekki Phase 1 Lekki Lagos
"₦ 7,000,000/year",Newly Built 4 Bedroom Terrace Duplex,Ajah Lekki Lagos
"₦ 13,000,000",Fully Furnished Semi Detached Duplex,Osapa London Lekki Lagos
"₦ 450,000,000",5 Bedroom Semi Detached Home,Victoria Island Lagos
"₦ 270,000/day",Luxury Waterfront 3 Bedroom Apartment With Pool And Gym,Joneers Court Lekki Phase 1 Lekki Lagos
"₦ 135,000,000",2 Units Of 4 Bedroom Fully Detached House,"Plot B D, Off Association Avenue, Voera Estate, Arepo Arepo Ogun"
"₦ 60,000,000",20 Acres Of Land,Sagamu Ogun
"₦ 5,000,000,000",A Functional Biscuits Factory,Agbara Agbara Igbesa Ogun
"₦ 130,000,000",6 Bedroom Duplex,Kemta Housing Estate Idi Aba Abeokuta Ogun
"₦ 50,000,000",1300sqm Land,"Laderin Housing Estate, Abeokuta Ogun"
"₦ 50,000,000",11 Units Of 2 Bedroom Apartment,Oke Mosan Abeokuta Ogun
"₦ 45,000,000",2 Bedroom Flat With A Bq,"Prince Court Estate, Kobape Abeokuta Ogun"
"₦ 12,000,000",3 Units Of Mini Flat Bungalow,"Isewo, Obada Abeokuta Ogun"
"₦ 60,000,000/year",Magnificent 4 Bedroom Apartment With Pool,Ikoyi Lagos
"₦ 85,000,000",4 Bedroom Terraced Duplex,"Olakemeji, Ibara Extension Abeokuta Ogun"
"₦ 150,000,000",4 Bedroom Duplex,Kemta Housing Estate Idi Aba Abeokuta Ogun
"₦ 125,000,000",4 Bedroom Duplex,Akute Obafemi Owode Ogun
"₦ 1,500,000",500sqm Land,City Garden Estate Edu Agbara Close To Badagry Beach Agbara Igbesa Ogun
"₦ 150,000,000",43 Acres Of Industrial Land Available For Sale,"Magboro, Chinese Bus Stop Arepo Junction Ogun State Arepo Arepo Ogun"
"₦ 3,500,000",Residential Land In A Serene Environment,Ire Akari Estate Olomore Totoro Abeokuta Ogun
"₦ 250,000,000",Smart Fully Detached Duplex,Ibara Gra Abeokuta Ogun
"₦ 70,000,000",House,Arepo Ogun
"₦ 40,000,000",2 Acres Of Land,Ogd ( Otunba Gbenga Estate) Estate Asero Abeokuta Ogun
"₦ 3,000,000",267 Acres Of Land With C Of O,Sagamu Benin Expressway Sagamu Ogun
"₦ 960,000",Land,Alapoti Ado Odo/Ota Ogun
"₦ 1,500,000",Land,Few Minutes Drive From Best Solution Polytechnic Akure Ondo
"₦ 1,500,000",Land,Very Close To Best Solution Polytechnic Akure Ondo
"₦ 75,000,000",3 Bedroom Terraced Duplex With Bq,"Medorf Residence, Gra, Alagbaka, Akure Ondo"
"₦ 55,000,000",House,Akure Ondo
"₦ 27,000,000",1440sqm Land,"Palmview Estate, Opposite Immigration Alagbaka Akure Ondo"
"₦ 450,000,000",4 Bedroom Duplex With 2 Bedroom Flat + 2 Units Of Bq,"Plot 9, Oluwalana Street, Alagbaka Gra Akure Ondo"
"₦ 30,000,000",2 Units Of 3 Bedroom Bungalow,"Aule Gra, Close To Ilesha Garage Akure Ondo"
"₦ 40,000,000",4 Units Of 2 Bedroom Flat,"Aule Gra, Close To Ilesha Garage Akure Ondo"
"₦ 50,000,000",4 Bedroom Bungalow With Bq,"Royal View Estate, Oba Ile Akure Ondo"
"₦ 6,000,000",A Plot Of Land,Opposite Topmils Filling Station Owo Express Road Akure Ondo
"₦ 28,000,000",16 Nos Room Self Contain Apartments,Futa Southgate Akure Ondo
"₦ 30,000,000",House,Oke Emosho Akure Ondo
"₦ 50,000,000",7 Bedroom Duplex With A Spacious Compound,"Close To Infiniti Hotel, Ondo Road Akure Ondo"
"₦ 150,000,000",4 Units Of 2 Bedroom Flats With A Mini Flat,"Plot 9, Oluwalana Street, Alagbaka Gra Akure Ondo"
"₦ 8,000,000",A Plot Of Land,"Near Kct Block Industry, Ayalodi Layout, Alagbaka Extension Akure Ondo"
"₦ 35,000,000",1020sqm Of Land,"Dome, Opposite Signatures, Alagbaka Gra Akure Ondo"
"₦ 1,000,000,000",Mini Estate,Damico Estate Ile Ife Ife Central Osun
"₦ 5,400,000",Land,Adjacent Osun State Secretariat/ Ede Road/ Olufunmilayo Estate Phase 2 Osogbo Osun
"₦ 85,000,000",Warehouse + 3 Units Of 3 Bedroom Flats,Ogo Oluwa Damilare Osogbo Osun
"₦ 5,000,000",Land,Ugbakala Umuahia Umuahia South Abia
"₦ 4,500,000",Land,Obingwa Aba Abia
"₦ 5,000,000",Land,Umuahia South Abia
"₦ 3,500,000",Land,Few Mins To Opobo Junction Aba Abia
"₦ 5,000,000",Land,Ubakala Umuahia South Abia
"₦ 6,000,000",Land,Umuahia North Abia
"₦ 4,000,000",Land,2mins Drive To Tonimas Company Aba Abia
"₦ 5,000,000",Land,Umueri Behind Anambra State Airport Anambra Anambra
"₦ 6,000,000",Land,3mins Drive From Ubakala Junction Umuahia North Abia
"₦ 6,000,000",Land,Ubakala Umuahia North Abia
"₦ 6,000,000",Land,Ubakala Junction Umuahia South Abia
"₦ 5,000,000",Land,"2 Mins Drive From Ubakala Junction, Umuahia South Abia"
"₦ 5,000,000",Land,"Ubakala, Umuahia South Abia"
"₦ 4,500,000",Land,Ubakala Umuahia South Abia
"₦ 4,500,000",Land,Obingwa Abia State Aba Abia
"₦ 6,000,000",Land,Ugbakala Umuahia North Abia
"₦ 3,000,000",Land,Aba Abia
"₦ 4,000,000",Land,5mins Drive From Osisioma Junction Aba South Abia
"₦ 3,500,000",Land,15mins Drive To Opobo Junction Aba South Abia
"₦ 4,500,000,000",Functional Ricemill On 5 Acres Of Land,Kano Municipal Kano
"₦ 3,000,000,000",Functional Ricemill Built On 4 Acres,Dawakin Kudu Kano
"₦ 4,500,000,000",Large Functional Ricemill,Kano Municipal Kano
"₦ 3,000,000,000",Ricemill Factory,Zaria Road Kano Municipal Kano
"₦ 150,000,000",Newly Built 6 Bedroom Duplex,Adobayero Royal Estate Darmanawa Tarauni Kano
"₦ 6,000,000/year",Newly Built 2 Bedroom Apartment,Behind Enyo Filling Station Chisco Ikate Lekki Lagos
"$ 60,010/year",Waterfront 4 Bedroom Apartment With Bq,"Banana Island Estate , Ikoyi Lagos"
"₦ 35,000,000/year",Waterfront 4 Bedroom Apartment With Bq,Banana Island Ikoyi Lagos
"₦ 120,000/day",Newly Built 1 Bedroom Apartment,Ikate Lekki Lagos
"₦ 90,000/day",1 Bedroom Apartment,Oniru Victoria Island Lagos
"₦ 100,000/day",Newly Built 1 Bedroom Apartment,Ologolo Lekki Lagos
"₦ 8,000,000/year",5 Units Of 2 Bedroom Flat With Bq,U3 Estate Lekki Lagos
"₦ 175,000,000",2 Bedroom Flat / Apartment for sale ONIRU Victoria Island Lagos,"Oniru, Victoria Island, Lagos"
"$ 1,000,000",3 Bedroom Apartment for sale Banana Island Ikoyi Lagos,"Banana Island, Ikoyi, Lagos"
"₦ 790,000,000",Furnished 4 Bedroom Terrace Duplex With Bq,"Banana Island, Ikoyi, Lagos"
"$ 1,300,000",Water View 4 Bedroom Apartment+bq+ Tennis+pool,"Banana Island Estate, Ikoyi, Lagos"
"₦ 550,000,000",Luxury Semi Detached House +elevator+bq (not New),"Parkview Estate, Ikoyi, Lagos"
"₦ 800,000,000",New Luxury 4 Bedroom Apartment + Bq Etc,"Old Ikoyi, Ikoyi, Lagos"
"₦ 949,000,000",Premium 4 Bedroom Terrace House +bq+pool,"Banana Island Estate, Ikoyi, Lagos"
"$ 1,300,000",4 Bedroom Penthouse Apartment On 2 Floors +bq+pool,"Adeola Odeku, Victoria Island, Lagos"
"₦ 500,000,000",New 3 Bedroom Maisonette On 2 Floors +bq+pool,"Victoria Island, Lagos"
"₦ 1,200,000,000",Luxury 4 Bedroom Maisonette On 2 Floors + Bq,"Banana Island Estate, Ikoyi, Lagos"
"₦ 360,000,000",4 Bedroom Detached Duplex,"Chevron 2 Toll Gate, Lekki, Lagos"
"₦ 1,200,000,000",New Luxury 4 Bedroom Maisonette On 2 Floors+bq+pool,"Banana Island Estate, Ikoyi, Lagos"
"₦ 480,000,000",4 Bedroom Massionette With Bq,"Parkview Estate, Ikoyi, Lagos"
"₦ 555,000,000",Self Serviced Semi Detached Terrace House +elevator,"Parkview Estate, Ikoyi, Lagos"
"$ 1,300,000",5 Bedroom Detached House + Elevator + Bq,"Old Ikoyi, Ikoyi, Lagos"
"₦ 799,999,999",Luxury 4 Bedroom Terrace House+bq+pool,"Old Ikoyi, Ikoyi, Lagos"
"₦ 1,600,000/sqm","1,139sqmts Of Premium Land","Old Ikoyi, Ikoyi, Lagos"
"₦ 1,700,000,000",5 & 3 Bedroom Semi Detached Houses,"Parkview Estate, Ikoyi, Lagos"
"₦ 499,999,999",Luxury 3 Bedroom Maisonette+bq+ Pool,"Victoria Island, Lagos"
"₦ 999,999,999",Luxury 4 Bedroom Semi Detached Terrace House +bq,"Banana Island Estate, Ikoyi, Lagos"
"₦ 485,000,000",Premium 2 Bedroom Apartment +bq+pool Gym,"Banana Island Estate, Ikoyi, Lagos"
"₦ 1,000,000,000",5 Bedroom Fully Detached Duplex With A Bq,Guzape Abuja
"₦ 470,000,000",Luxurious 4 Bedroom Penthouse (offplan),"Aurora Westlink Estate, Oduduwa Crescent Gra Ikeja Ikeja Gra Ikeja Lagos"
"₦ 1,500,000",Land,Opposite Nscdc Quaters Ilorin Kwara
"₦ 1,000,000",Land,Very Close To Kwara State Polytechnic Ilorin Kwara
"₦ 1,000,000",Land,Jegba Rd Ilorin Kwara
"₦ 1,500,000",Land,Jegba Road Ilorin Kwara
"₦ 1,000,000",Land,Close To University Of Illorin Teaching Hospital Ilorin Kwara
"₦ 2,000,000",Land,Opp Harvard Polytechnic Ilorin Kwara
"₦ 10,000,000",Uncompleted 3 Bedroom Bungalow,Alagbado Sobi Barack Ilorin Kwara
"₦ 2,000,000",Land,Ibrahim Taiwo Rd Ilorin Kwara
"₦ 34,000,000",3 Bedroom Bungalow,Ilorin Kwara
"₦ 30,000,000",Bulk Land For Sale In Kwara State,Ilorin Kwara
"₦ 75,000,000",4 Bedroom Duplex,Emmanuel Kolo Street Off Awolowo Road Tanke Ilorin Kwara
"₦ 60,000,000",4 Bedroom Bungalow With Spacious Compound,"Off Awolowo Road, Tanke Ilorin Kwara"
"₦ 50,000,000",4 Bedroom Detached Bungalow On 2 Plots,"Fate,tanke.facing Tarred Road Ilorin Kwara"
"₦ 150,000,000",8 Bedroom Duplex On 4 Plots,"Asadam, Around Kam Wire Company Ilorin Kwara"
"₦ 250,000,000",School,"Behind Ansarudeen Central Mosque, Off Taiwo Road, Ilorin Kwara"
"₦ 60,000,000",5 Bedroom Bungalow,"Ibudo Osho, Adjacent Evergreen Estate Ilorin Kwara"
"₦ 60,000,000",5 Bedroom Detached Bungalow,"Budo Osho, Adjacent Ever Green Estate Ilorin Kwara"
"₦ 10,000,000",Land,Issele Azagba Asaba Delta
"₦ 4,500,000",Land,Ibusa Asaba Delta
"₦ 550,000,000",8 Units Of 2 Bedroom Apartment,Army Estate Warri Delta
"₦ 550,000",350 Sqm Land,Otulu Asaba Delta
"₦ 7,000,000",Land,Achalla Ibusa Asaba Delta
"₦ 40,000,000",2 Units Of 3 Bedroom Flat,"Egbokodo Okpe, Jeddo, Warri Delta"
"₦ 100,000,000",5 Bedroom Detached Duplex,"Pti Road, Effurun Warri Delta"
"₦ 15,500,000",Land,Behind Governance Villa Asaba Delta
"₦ 10,000,000",Land,Asaba Delta
"₦ 3,000,000",Land,Asaba Delta
"₦ 6,000,000",Land,Ibusa Asaba Delta
"₦ 13,000,000",Land,Admiralty Drive Asaba Delta
"₦ 8,500,000",Land,Asaba Delta
"₦ 3,500,000",Land,Asaba Delta
"₦ 20,000,000",Land,Iseele Azagba Asaba Delta
"₦ 10,000,000",Land,Few Minutes Drive From Asaba Int'l Airport Asaba Delta
"₦ 5,500,000",Land,Shares Proximity With Admiralty University Ibusa Asaba Delta
"₦ 1,999,000",Land,10mins Away From Delta State Govt House Asaba Delta
"₦ 2,000,000",Land,Ibusa Town Asaba Delta
"₦ 155,000,000",Extremely Spacious 4 Bedroom Semi Detached Duplex,Centenary City Enugu Enugu
"₦ 150,000,000",Spacious 4 Bedroom Semi Detached Duplex,Centenary City Enugu Enugu
"₦ 350,000,000",Luxurious 5 Bedroom Detached Duplex,Wtc Estate Enugu Enugu
"₦ 160,000,000",4 Bedroom Detached Duplex,Golf Annex Estate Enugu Enugu
"₦ 3,000,000",Land,Close To 7up Bottling Company Enugu Enugu
"₦ 68,000,000",4 Bedroom Semi Detached Duplex,Sunrise Estate Enugu Enugu
"₦ 350,000,000",5 Bedroom House,Wtc Estate Enugu Enugu
"₦ 90,000,000",4 Bedroom Detached Duplex,Centenary City Enugu Enugu
"₦ 100,000,000",Spacious 4 Bedroom Semi Detached Duplex,Centenary Enugu Enugu
"₦ 100,000,000",Newly Built 4 Bedroom Detached Duplex,Emene Enugu Enugu
"₦ 200,000,000",Luxurious 5 Bedroom Fully Detached Duplex,Independence Layout Enugu Enugu
"₦ 70,000,000",Fully Furnished 3 Bedrooms Fully Detached Bungalow,Trans Ekulu Enugu Enugu
"₦ 180,000,000",4 Bedroom Detached Duplex,"Centinary City, Enugu Enugu"
"₦ 250,000,000",Fully Detached 4 Bedroom With Pool And Bq,"Independence Layout, Enugu State. Enugu Enugu"
"₦ 180,000,000",Newly Built Contemporary 4 Bedroom & A Room Bq Duplex,"Diamond Estate, Enugu State. Enugu Enugu"
"₦ 2,500,000",Land,Nike Enugu Enugu
"₦ 35,000,000",Land,A Minute Drive From Innoson Factory Enugu Enugu
"₦ 4,000,000",Land,15 Minutes To Holyghost Market Enugu Enugu
"₦ 4,000,000",Land,Agbaogazi Nike Enugu Enugu
"₦750,000,000",450sqm Land,"Along Ikere Road, Ado Ekiti Ekiti"
"₦45,000,000",4 Bedroom Bungalow With 3 Units Of A Room Selfcon,Irewunmi Ado Ekiti Ekiti
"₦2,000,000",Land,Washington Parks And Gardens Ado Ekiti Ekiti
"₦2,500,000",Land Measuring 300sqm,Odo/bellford Hills..... Ado Ekiti Ekiti
"₦40,000,000",Swamp Rig,"Suleja, Niger"
"₦3,000,000",Land,"Emirates Parks And Garden Estate, Suleja, Niger"
"₦ 65,000,000",House for sale Judges Quarter Makurdi Benue,"Judges Quarter, Makurdi, Benue"
"₦ 25,000,000",Mini Estate,"Makurdi, Benue"
"₦ 25,000,000",4 Units Of 2 Bedroom Bungalow,"Akume Way, Makurdi, Benue"
"₦ 18,000,000",3 Bedroom Bungalow,"Behind Correctional Service, Makurdi, Benue"
"₦ 50,000,000",Mini Estate With 8 Units Of 1 Bedroom Flat,"Commissioners Lodge, Makurdi, Benue"
"₦ 15,000,000",3 Bedroom Fully Detached Bungalow,"Makurdi, Benue"
"₦ 30,000,000",3 Bedroom Fully Detached Bungalow,"George Akume Road, Makurdi, Benue"
"₦ 75,000,000",Mini Estate,"Nyorgyungu, Makurdi, Benue"
"₦ 70,000,000",Hotel With 11 Furnished Rooms,"Naka Road After Cathedral, Makurdi, Benue"
"₦ 4,300,000,000",9 Bedroom Detached Mansion With Bq,"Around Ministers Hill, Maitama, Abuja"
"₦ 100,000,000",5 Bedroom Fully Detached Duplex With Bq,"High Level, Makurdi, Benue"
"₦ 2,000,000",Land,"Welfare Quarters Extension Ucha, Makurdi, Ukum, Benue"
$ 600/sqm,Open Plan Office Space,"Banana Island Estate , Banana Island Ikoyi Lagos"
"$ 30,000/year",2 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos
"$ 60,000/year",Oceanview 4 Bedroom Apartment,Banana Island Ikoyi Lagos
"$ 25,000/year",Serviced 3 Bedroom Apartment With Bq,Old Ikoyi Ikoyi Lagos
"₦ 80,000/sqm",Newly Built Open Plan Office Space,Jibowu Yaba Lagos
"₦ 260,000/sqm",Serviced Open Plan Office Space,Ikeja Gra Ikeja Lagos
"₦ 75,000/sqm",Newly Built Open Plan Office Space,Providence Road Lekki Phase 1 Lekki Lagos
"₦ 50,000/sqm",Open Plan Office Space Measuring 52.1 Sqm,Salvation Bus Stop Opebi Ikeja Lagos
"₦ 350,000,000",5 Bedroom Fully Detached Duplex,Chevron Lekki Lagos
"₦ 75,000,000",New 3 Bedroom Apartment With Bq – Only 4 Units Left,Katampe Main Abuja
"₦ 75,000,000",3 Bedroom Apartment With A Bq,Dakibuiyi By Wuye Abuja
"$ 1,000,000",4 Bedroom Maisonette On 2 Floors Plus Bq,Banana Island Estate Banana Island Ikoyi Lagos
"₦ 75,000,000",Newly Built & Standard 2 Bedroom Flat,Anthony Village Maryland Lagos
"₦ 80,000,000",3 Bedroom Flat,Onike Yaba Lagos
"₦ 65,000,000",1 Bedroom Apartment,Ologolo Lekki Lagos
"₦ 70,000,000",Luxury 3 Bedroom Apartment,Ikota Lekki Lagos
"₦ 210,000,000",New 4 Bedroom Duplex With Swimming Pool,Orchid Lekki Lagos
"₦ 600,000,000",Furnished 5 Bedroom Terraced Duplex + Boys Quarters,Jahi By Gilmore Jahi Abuja
"₦ 500,000,000",Unfurnished 5 Bedroom Terrace Duplex + Boys Quarters,Jahi By Gilmore Jahi Abuja
"₦ 1,200,000,000",Luxury 4 Bedroom Maisonette On 2 Floors + Bq,Banana Island Estate Banana Island Ikoyi Lagos
"₦ 7,500,000",Land,Eneka Igbo Road Port Harcourt Rivers
